State,Name,FIPS State,FIPS County,,,,,
AL,Autauga,1,1,,,,,
AL,Baldwin,1,3,,,,,
AL,Barbour,1,5,,,,,
AL,Bibb,1,7,,,,,
AL,Blount,1,9,,,,,
AL,Bullock,1,11,,,,,
AL,Butler,1,13,,,,,
AL,Calhoun,1,15,,,,,
AL,Chambers,1,17,,,,,
AL,Cherokee,1,19,,,,,
AL,Chilton,1,21,,,,,
AL,Choctaw,1,23,,,,,
AL,Clarke,1,25,,,,,
AL,Clay,1,27,,,,,
AL,Cleburne,1,29,,,,,
AL,Coffee,1,31,,,,,
AL,Colbert,1,33,,,,,
AL,Conecuh,1,35,,,,,
AL,Coosa,1,37,,,,,
AL,Covington,1,39,,,,,
AL,Crenshaw,1,41,,,,,
AL,Cullman,1,43,,,,,
AL,Dale,1,45,,,,,
AL,Dallas,1,47,,,,,
AL,De Kalb,1,49,,,,,
AL,Elmore,1,51,,,,,
AL,Escambia,1,53,,,,,
AL,Etowah,1,55,,,,,
AL,Fayette,1,57,,,,,
AL,Franklin,1,59,,,,,
AL,Geneva,1,61,,,,,
AL,Greene,1,63,,,,,
AL,Hale,1,65,,,,,
AL,Henry,1,67,,,,,
AL,Houston,1,69,,,,,
AL,Jackson,1,71,,,,,
AL,Jefferson,1,73,,,,,
AL,Lamar,1,75,,,,,
AL,Lauderdale,1,77,,,,,
AL,Lawrence,1,79,,,,,
AL,Lee,1,81,,,,,
AL,Limestone,1,83,,,,,
AL,Lowndes,1,85,,,,,
AL,Macon,1,87,,,,,
AL,Madison,1,89,,,,,
AL,Marengo,1,91,,,,,
AL,Marion,1,93,,,,,
AL,Marshall,1,95,,,,,
AL,Mobile,1,97,,,,,
AL,Monroe,1,99,,,,,
AL,Montgomery,1,101,,,,,
AL,Morgan,1,103,,,,,
AL,Perry,1,105,,,,,
AL,Pickens,1,107,,,,,
AL,Pike,1,109,,,,,
AL,Randolph,1,111,,,,,
AL,Russell,1,113,,,,,
AL,St. Clair,1,115,,,,,
AL,Shelby,1,117,,,,,
AL,Sumter,1,119,,,,,
AL,Talladega,1,121,,,,,
AL,Tallapoosa,1,123,,,,,
AL,Tuscaloosa,1,125,,,,,
AL,Walker,1,127,,,,,
AL,Washington,1,129,,,,,
AL,Wilcox,1,131,,,,,
AL,Winston,1,133,,,,,
AK,Aleutians East,2,13,,,,,
AK,Aleutians West,2,16,,,,,
AK,Anchorage,2,20,,,,,
AK,Bethel,2,50,,,,,
AK,Bristol Bay,2,60,,,,,
AK,Denali,2,68,,,,,
AK,Dillingham,2,70,,,,,
AK,Fairbanks North Star,2,90,,,,,
AK,Haines,2,100,,,,,
AK,Juneau,2,110,,,,,
AK,Kenai Peninsula,2,122,,,,,
AK,Ketchikan Gateway,2,130,,,,,
AK,Kodiak Island,2,150,,,,,
AK,Lake and Peninsula,2,164,,,,,
AK,Matanuska-Susitna,2,170,,,,,
AK,Nome,2,180,,,,,
AK,North Slope,2,185,,,,,
AK,Northwest Arctic,2,188,,,,,
AK,Prince of Wales-Hyder,2,201,,,,,
AK,Sitka,2,220,,,,,
AK,Skagway,2,232,,,,,
AK,Southeast Fairbanks,2,240,,,,,
AK,Valdez-Cordova,2,261,,,,,
AK,Wade Hampton,2,270,,,,,
AK,Wrangell,2,280,,,,,
AK,Yakutat,2,282,,,,,
AK,Yukon-Koyukuk,2,290,,,,,
AZ,Apache,4,1,,,,,
AZ,Cochise,4,3,,,,,
AZ,Coconino,4,5,,,,,
AZ,Gila,4,7,,,,,
AZ,Graham,4,9,,,,,
AZ,Greenlee,4,11,,,,,
AZ,La Paz,4,12,,,,,
AZ,Maricopa,4,13,,,,,
AZ,Mohave,4,15,,,,,
AZ,Navajo,4,17,,,,,
AZ,Pima,4,19,,,,,
AZ,Pinal,4,21,,,,,
AZ,Santa Cruz,4,23,,,,,
AZ,Yavapai,4,25,,,,,
AZ,Yuma,4,27,,,,,
AR,Arkansas,5,1,,,,,
AR,Ashley,5,3,,,,,
AR,Baxter,5,5,,,,,
AR,Benton,5,7,,,,,
AR,Boone,5,9,,,,,
AR,Bradley,5,11,,,,,
AR,Calhoun,5,13,,,,,
AR,Carroll,5,15,,,,,
AR,Chicot,5,17,,,,,
AR,Clark,5,19,,,,,
AR,Clay,5,21,,,,,
AR,Cleburne,5,23,,,,,
AR,Cleveland,5,25,,,,,
AR,Columbia,5,27,,,,,
AR,Conway,5,29,,,,,
AR,Craighead,5,31,,,,,
AR,Crawford,5,33,,,,,
AR,Crittenden,5,35,,,,,
AR,Cross,5,37,,,,,
AR,Dallas,5,39,,,,,
AR,Desha,5,41,,,,,
AR,Drew,5,43,,,,,
AR,Faulkner,5,45,,,,,
AR,Franklin,5,47,,,,,
AR,Fulton,5,49,,,,,
AR,Garland,5,51,,,,,
AR,Grant,5,53,,,,,
AR,Greene,5,55,,,,,
AR,Hempstead,5,57,,,,,
AR,Hot Spring,5,59,,,,,
AR,Howard,5,61,,,,,
AR,Independence,5,63,,,,,
AR,Izard,5,65,,,,,
AR,Jackson,5,67,,,,,
AR,Jefferson,5,69,,,,,
AR,Johnson,5,71,,,,,
AR,Lafayette,5,73,,,,,
AR,Lawrence,5,75,,,,,
AR,Lee,5,77,,,,,
AR,Lincoln,5,79,,,,,
AR,Little River,5,81,,,,,
AR,Logan,5,83,,,,,
AR,Lonoke,5,85,,,,,
AR,Madison,5,87,,,,,
AR,Marion,5,89,,,,,
AR,Miller,5,91,,,,,
AR,Mississippi,5,93,,,,,
AR,Monroe,5,95,,,,,
AR,Nevada,5,99,,,,,
AR,Newton,5,101,,,,,
AR,Ouachita,5,103,,,,,
AR,Perry,5,105,,,,,
AR,Phillips,5,107,,,,,
AR,Pike,5,109,,,,,
AR,Poinsett,5,111,,,,,
AR,Polk,5,113,,,,,
AR,Pope,5,115,,,,,
AR,Prairie,5,117,,,,,
AR,Pulaski,5,119,,,,,
AR,Randolph,5,121,,,,,
AR,St. Francis,5,123,,,,,
AR,Saline,5,125,,,,,
AR,Scott,5,127,,,,,
AR,Searcy,5,129,,,,,
AR,Sebastian,5,131,,,,,
AR,Sevier,5,133,,,,,
AR,Sharp,5,135,,,,,
AR,Stone,5,137,,,,,
AR,Union,5,139,,,,,
AR,Van Buren,5,141,,,,,
AR,Washington,5,143,,,,,
AR,White,5,145,,,,,
AR,Woodruff,5,147,,,,,
AR,Yell,5,149,,,,,
CA,Alameda,6,1,,,,,
CA,Alpine,6,3,,,,,
CA,Amador,6,5,,,,,
CA,Butte,6,7,,,,,
CA,Calaveras,6,9,,,,,
CA,Colusa,6,11,,,,,
CA,Contra Costa,6,13,,,,,
CA,Del Norte,6,15,,,,,
CA,El Dorado,6,17,,,,,
CA,Fresno,6,19,,,,,
CA,Glenn,6,21,,,,,
CA,Humboldt,6,23,,,,,
CA,Imperial,6,25,,,,,
CA,Inyo,6,27,,,,,
CA,Kern,6,29,,,,,
CA,Kings,6,31,,,,,
CA,Lake,6,33,,,,,
CA,Lassen,6,35,,,,,
CA,Los Angeles,6,37,,,,,
CA,Madera,6,39,,,,,
CA,Marin,6,41,,,,,
CA,Mariposa,6,43,,,,,
CA,Mendocino,6,45,,,,,
CA,Merced,6,47,,,,,
CA,Modoc,6,49,,,,,
CA,Mono,6,51,,,,,
CA,Monterey,6,53,,,,,
CA,Napa,6,55,,,,,
CA,Nevada,6,57,,,,,
CA,Orange,6,59,,,,,
CA,Placer,6,61,,,,,
CA,Plumas,6,63,,,,,
CA,Riverside,6,65,,,,,
CA,Sacramento,6,67,,,,,
CA,San Benito,6,69,,,,,
CA,San Bernardino,6,71,,,,,
CA,San Diego,6,73,,,,,
CA,San Francisco,6,75,,,,,
CA,San Joaquin,6,77,,,,,
CA,San Luis Obispo,6,79,,,,,
CA,San Mateo,6,81,,,,,
CA,Santa Barbara,6,83,,,,,
CA,Santa Clara,6,85,,,,,
CA,Santa Cruz,6,87,,,,,
CA,Shasta,6,89,,,,,
CA,Sierra,6,91,,,,,
CA,Siskiyou,6,93,,,,,
CA,Solano,6,95,,,,,
CA,Sonoma,6,97,,,,,
CA,Stanislaus,6,99,,,,,
CA,Sutter,6,101,,,,,
CA,Tehama,6,103,,,,,
CA,Trinity,6,105,,,,,
CA,Tulare,6,107,,,,,
CA,Tuolumne,6,109,,,,,
CA,Ventura,6,111,,,,,
CA,Yolo,6,113,,,,,
CA,Yuba,6,115,,,,,
CO,Adams,8,1,,,,,
CO,Alamosa,8,3,,,,,
CO,Arapahoe,8,5,,,,,
CO,Archuleta,8,7,,,,,
CO,Baca,8,9,,,,,
CO,Bent,8,11,,,,,
CO,Boulder,8,13,,,,,
CO,Broomfield,8,14,,,,,
CO,Chaffee,8,15,,,,,
CO,Cheyenne,8,17,,,,,
CO,Clear Creek,8,19,,,,,
CO,Conejos,8,21,,,,,
CO,Costilla,8,23,,,,,
CO,Crowley,8,25,,,,,
CO,Custer,8,27,,,,,
CO,Delta,8,29,,,,,
CO,Denver,8,31,,,,,
CO,Dolores,8,33,,,,,
