,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,LA,220,"Alexandria, LA MSA",11-0000,Management occupations,major,2870,4.3,28.41,59100,2.4,12.78,17.71,25.01,34.14,47.61,26590,36830,52020,71010,99020,2004
16,LA,220,"Alexandria, LA MSA",13-0000,Business and financial operations occupations,major,1380,5.5,22.31,46390,3.8,11.15,14.39,19.31,26.50,36.97,23190,29920,40170,55120,76910,2004
29,LA,220,"Alexandria, LA MSA",15-0000,Computer and mathematical occupations,major,380,11.5,22.42,46640,4.0,11.87,16.29,21.37,28.54,33.75,24690,33870,44450,59360,70200,2004
36,LA,220,"Alexandria, LA MSA",17-0000,Architecture and engineering occupations,major,630,12.5,22.01,45780,3.3,12.27,15.97,20.86,26.93,34.71,25520,33230,43400,56010,72190,2004
42,LA,220,"Alexandria, LA MSA",19-0000,"Life, physical, and social science occupations",major,280,3.8,23.11,48070,3.5,10.31,14.53,20.30,29.13,38.41,21430,30220,42210,60600,79900,2004
44,LA,220,"Alexandria, LA MSA",21-0000,Community and social services occupations,major,1120,4.8,15.70,32660,4.4,7.51,10.18,15.41,20.24,24.73,15630,21170,32050,42090,51430,2004
48,LA,220,"Alexandria, LA MSA",23-0000,Legal occupations,major,550,30.7,25.73,53510,11.9,10.54,13.55,17.72,26.81,54.45,21930,28180,36860,55760,113250,2004
54,LA,220,"Alexandria, LA MSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,490,23.1,14.70,30580,8.6,6.24,7.89,12.57,18.88,28.89,12980,16420,26150,39260,60090,2004
59,LA,220,"Alexandria, LA MSA",29-0000,Healthcare practitioners and technical occupations,major,5340,2.4,24.16,50250,4.8,10.57,13.37,19.42,26.11,39.80,21980,27820,40400,54320,82790,2004
81,LA,220,"Alexandria, LA MSA",31-0000,Healthcare support occupations,major,2260,5.6,8.81,18320,3.8,5.72,6.42,7.96,10.59,13.40,11910,13360,16560,22040,27870,2004
88,LA,220,"Alexandria, LA MSA",33-0000,Protective service occupations,major,1560,11.1,11.92,24800,3.0,6.84,9.12,11.17,14.14,17.39,14220,18980,23220,29410,36160,2004
93,LA,220,"Alexandria, LA MSA",35-0000,Food preparation and serving related occupations,major,4380,8.6,7.47,15530,1.9,5.56,5.96,6.63,8.03,10.71,11570,12400,13790,16700,22270,2004
107,LA,220,"Alexandria, LA MSA",37-0000,Building and grounds cleaning and maintenance occupations,major,2030,8.6,8.62,17930,3.9,5.71,6.28,7.52,10.10,13.17,11870,13070,15630,21010,27400,2004
113,LA,220,"Alexandria, LA MSA",39-0000,Personal care and service occupations,major,2470,7.9,7.78,16190,4.7,5.64,6.16,7.07,8.56,11.58,11720,12810,14700,17790,24080,2004
118,LA,220,"Alexandria, LA MSA",41-0000,Sales and related occupations,major,5750,3.9,11.01,22890,3.1,5.88,6.61,8.50,12.98,19.59,12230,13740,17670,27000,40760,2004
131,LA,220,"Alexandria, LA MSA",43-0000,Office and administrative support occupations,major,8930,3.9,11.16,23210,2.3,6.54,7.97,10.16,13.30,17.26,13600,16580,21120,27660,35890,2004
164,LA,220,"Alexandria, LA MSA",45-0000,"Farming, fishing, and forestry occupations",major,**,**,12.09,25150,5.2,6.29,7.92,11.31,14.32,19.03,13080,16460,23530,29790,39590,2004
166,LA,220,"Alexandria, LA MSA",47-0000,Construction and extraction occupations,major,3070,10.4,13.28,27620,3.3,7.37,9.23,12.45,16.35,20.69,15330,19200,25890,34010,43030,2004
179,LA,220,"Alexandria, LA MSA",49-0000,"Installation, maintenance, and repair occupations",major,3040,16.3,14.93,31050,4.5,7.93,10.28,13.75,18.20,24.75,16480,21380,28600,37850,51480,2004
195,LA,220,"Alexandria, LA MSA",51-0000,Production occupations,major,2290,8.3,12.89,26800,4.8,6.46,8.34,11.43,16.47,21.50,13430,17360,23780,34260,44710,2004
