,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,Management occupations,major,13200,3.0,36.98,76920,1.5,16.44,22.54,33.50,46.35,62.62,34190,46880,69690,96400,130250,2006
29,AK,11260,"Anchorage, AK",13-0000,Business and financial operations occupations,major,6200,3.3,29.64,61650,1.8,16.83,21.39,27.86,36.25,45.72,35010,44480,57940,75410,95090,2006
52,AK,11260,"Anchorage, AK",15-0000,Computer and mathematical occupations,major,2510,4.3,30.92,64320,2.2,19.01,23.69,30.30,37.83,45.41,39530,49280,63020,78680,94450,2006
62,AK,11260,"Anchorage, AK",17-0000,Architecture and engineering occupations,major,4290,5.0,33.44,69550,2.1,19.03,24.30,32.46,42.14,50.11,39580,50540,67520,87650,104230,2006
86,AK,11260,"Anchorage, AK",19-0000,"Life, physical, and social science occupations",major,2530,18.1,28.08,58410,3.7,13.78,18.91,26.52,35.97,45.82,28660,39340,55160,74820,95300,2006
106,AK,11260,"Anchorage, AK",21-0000,Community and social services occupations,major,2560,6.8,19.43,40410,2.5,12.29,14.62,17.92,23.10,29.29,25560,30410,37280,48050,60930,2006
119,AK,11260,"Anchorage, AK",23-0000,Legal occupations,major,1460,14.6,33.49,69670,7.6,16.24,21.43,29.34,41.78,54.18,33780,44570,61020,86910,112700,2006
139,AK,11260,"Anchorage, AK",27-0000,"Arts, design, entertainment, sports, and media occupations",major,1930,7.8,22.33,46450,4.5,11.43,14.65,19.47,28.09,37.49,23780,30480,40500,58420,77990,2006
153,AK,11260,"Anchorage, AK",29-0000,Healthcare practitioners and technical occupations,major,7940,4.8,35.19,73190,3.0,17.07,23.20,31.10,39.04,58.24,35500,48250,64680,81200,121140,2006
184,AK,11260,"Anchorage, AK",31-0000,Healthcare support occupations,major,3510,6.5,14.84,30870,2.1,10.60,12.30,13.97,17.06,20.69,22040,25590,29050,35470,43040,2006
195,AK,11260,"Anchorage, AK",33-0000,Protective service occupations,major,5370,4.4,18.38,38240,6.8,9.79,10.91,13.63,23.45,32.84,20360,22680,28360,48780,68310,2006
203,AK,11260,"Anchorage, AK",35-0000,Food preparation and serving related occupations,major,12230,3.4,10.52,21870,2.0,7.49,7.95,9.06,11.72,14.98,15570,16530,18850,24370,31160,2006
220,AK,11260,"Anchorage, AK",37-0000,Building and grounds cleaning and maintenance occupations,major,5260,5.8,12.22,25420,2.1,8.55,9.64,11.18,13.77,17.88,17790,20060,23250,28640,37190,2006
226,AK,11260,"Anchorage, AK",39-0000,Personal care and service occupations,major,5790,7.0,13.51,28090,2.6,8.15,10.03,12.99,15.83,18.87,16960,20870,27020,32920,39260,2006
241,AK,11260,"Anchorage, AK",41-0000,Sales and related occupations,major,15600,3.7,15.76,32770,2.2,8.29,9.73,12.26,18.40,27.35,17240,20230,25500,38270,56880,2006
260,AK,11260,"Anchorage, AK",43-0000,Office and administrative support occupations,major,29520,2.3,16.71,34760,1.0,10.13,12.59,15.94,20.00,24.09,21070,26180,33160,41590,50100,2006
307,AK,11260,"Anchorage, AK",47-0000,Construction and extraction occupations,major,9980,5.3,26.33,54770,1.9,14.10,19.29,26.11,32.31,39.09,29320,40120,54310,67200,81300,2006
335,AK,11260,"Anchorage, AK",49-0000,"Installation, maintenance, and repair occupations",major,7940,5.1,23.36,48590,1.9,12.11,17.16,23.07,29.34,35.19,25190,35700,47980,61020,73190,2006
361,AK,11260,"Anchorage, AK",51-0000,Production occupations,major,2880,5.5,18.15,37740,2.7,9.28,11.31,16.12,22.86,30.41,19310,23530,33540,47550,63260,2006
385,AK,11260,"Anchorage, AK",53-0000,Transportation and material moving occupations,major,13350,4.5,21.48,44670,7.4,9.07,11.35,15.41,24.07,38.07,18870,23610,32060,50070,79190,2006
414,AK,21820,"Fairbanks, AK",11-0000,Management occupations,major,2560,4.1,33.70,70100,2.4,15.70,21.63,29.71,42.74,57.69,32650,44980,61790,88890,120000,2006
429,AK,21820,"Fairbanks, AK",13-0000,Business and financial operations occupations,major,1030,5.4,28.05,58330,2.4,17.02,20.79,26.48,33.75,44.15,35400,43250,55090,70200,91840,2006
