,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,major,12430,2.7,40.37,83960,1.4,18.36,25.29,36.21,49.31,67.75,38180,52600,75310,102560,140920,2008
29,AK,11260,"Anchorage, AK",13-0000,major,6360,2.9,30.27,62960,2.1,16.35,21.21,28.21,36.82,46.91,34000,44120,58680,76590,97580,2008
53,AK,11260,"Anchorage, AK",15-0000,major,2760,4.1,32.06,66690,2.2,19.27,24.27,31.30,38.73,47.21,40080,50480,65110,80560,98190,2008
64,AK,11260,"Anchorage, AK",17-0000,major,4810,4.6,41.63,86590,7.2,21.30,27.86,37.09,49.05,65.11,44300,57940,77150,102020,135430,2008
85,AK,11260,"Anchorage, AK",19-0000,major,2840,21.8,30.15,62700,2.9,16.12,20.88,28.61,37.19,47.04,33540,43430,59500,77350,97840,2008
106,AK,11260,"Anchorage, AK",21-0000,major,2970,6.8,21.46,44630,3.5,12.61,16.05,20.26,26.03,31.99,26230,33390,42140,54150,66530,2008
120,AK,11260,"Anchorage, AK",23-0000,major,**,**,37.68,78370,6.7,20.45,24.75,33.73,45.91,57.15,42540,51480,70150,95480,118870,2008
125,AK,11260,"Anchorage, AK",25-0000,major,9490,13.3,23.92,49760,3.1,8.09,13.85,23.39,32.04,40.20,16830,28810,48640,66630,83610,2008
143,AK,11260,"Anchorage, AK",27-0000,major,1890,10.5,23.23,48310,3.8,11.42,14.84,19.49,28.48,38.27,23750,30860,40540,59230,79600,2008
159,AK,11260,"Anchorage, AK",29-0000,major,8580,13.4,37.26,77510,2.8,17.13,24.05,33.34,42.42,61.93,35640,50020,69350,88240,128820,2008
190,AK,11260,"Anchorage, AK",31-0000,major,3900,6.5,17.16,35700,3.8,11.74,13.38,15.21,18.75,23.47,24410,27830,31630,39000,48810,2008
200,AK,11260,"Anchorage, AK",33-0000,major,4540,5.3,20.32,42270,7.8,10.71,12.08,18.28,26.46,34.38,22270,25120,38020,55040,71510,2008
210,AK,11260,"Anchorage, AK",35-0000,major,13270,3.3,11.21,23310,2.5,7.71,8.12,9.56,12.06,15.87,16030,16900,19880,25080,33010,2008
227,AK,11260,"Anchorage, AK",37-0000,major,5600,5.4,13.69,28480,2.9,8.52,10.21,12.16,15.84,20.96,17720,21250,25290,32940,43590,2008
234,AK,11260,"Anchorage, AK",39-0000,major,5690,11.0,12.47,25950,2.8,7.91,9.10,11.54,14.43,18.46,16460,18920,23990,30010,38390,2008
251,AK,11260,"Anchorage, AK",41-0000,major,15320,3.4,16.30,33910,2.1,8.42,10.16,12.82,18.88,28.41,17510,21130,26670,39270,59090,2008
