,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,major,11910,2.5,71.930,41.34,85990,1.3,18.97,26.34,37.30,50.90,67.58,39460,54790,77590,105860,140560,2009
29,AK,11260,"Anchorage, AK",13-0000,major,6940,3.1,41.919,31.54,65610,2.5,16.65,21.88,29.20,38.08,48.71,34630,45510,60740,79210,101320,2009
53,AK,11260,"Anchorage, AK",15-0000,major,3110,4.4,18.801,32.20,66970,2.2,19.01,23.62,31.56,39.54,47.97,39550,49130,65650,82240,99770,2009
64,AK,11260,"Anchorage, AK",17-0000,major,5370,3.1,32.427,45.83,95330,6.0,23.47,30.62,40.89,55.61,76.04,48810,63700,85060,115670,158170,2009
87,AK,11260,"Anchorage, AK",19-0000,major,2830,3.4,17.074,32.91,68460,2.8,16.26,21.52,30.28,40.51,52.36,33830,44760,62970,84270,108900,2009
105,AK,11260,"Anchorage, AK",21-0000,major,3070,7.1,18.521,21.57,44870,4.1,12.13,15.19,20.08,26.54,33.43,25230,31600,41770,55200,69530,2009
119,AK,11260,"Anchorage, AK",23-0000,major,1480,5.9,8.910,36.41,75730,7.3,19.82,22.25,31.12,44.23,57.58,41210,46270,64740,92000,119760,2009
124,AK,11260,"Anchorage, AK",25-0000,major,9690,2.6,58.480,28.36,59000,2.6,9.31,18.42,28.16,37.06,46.48,19360,38300,58570,77080,96680,2009
135,AK,11260,"Anchorage, AK",27-0000,major,1540,9.2,9.315,22.15,46070,3.2,10.94,14.63,19.63,27.91,37.13,22760,30440,40840,58050,77230,2009
152,AK,11260,"Anchorage, AK",29-0000,major,9110,7.0,55.024,37.30,77590,2.6,16.74,23.91,33.84,42.90,60.54,34810,49720,70400,89230,125920,2009
183,AK,11260,"Anchorage, AK",31-0000,major,4750,5.9,28.684,17.32,36020,4.8,10.88,13.28,15.40,19.26,24.01,22620,27630,32030,40060,49940,2009
193,AK,11260,"Anchorage, AK",33-0000,major,4120,3.2,24.875,21.07,43830,6.6,11.52,13.17,18.85,27.11,35.56,23950,27390,39210,56390,73970,2009
202,AK,11260,"Anchorage, AK",35-0000,major,13480,2.8,81.378,11.28,23460,3.1,7.72,8.29,9.53,12.11,16.37,16050,17240,19820,25180,34040,2009
219,AK,11260,"Anchorage, AK",37-0000,major,5180,3.2,31.294,14.68,30530,4.4,8.67,10.59,12.89,16.46,24.11,18040,22020,26800,34240,50140,2009
227,AK,11260,"Anchorage, AK",39-0000,major,5250,8.5,31.683,12.67,26350,1.9,7.99,9.10,12.06,14.85,18.36,16610,18930,25070,30900,38180,2009
242,AK,11260,"Anchorage, AK",41-0000,major,15970,3.4,96.411,15.88,33020,2.6,8.33,9.96,12.36,17.98,27.21,17320,20720,25720,37390,56600,2009
260,AK,11260,"Anchorage, AK",43-0000,major,28860,1.8,174.206,18.17,37790,0.8,11.11,13.63,17.09,21.87,26.30,23110,28350,35540,45490,54710,2009
303,AK,11260,"Anchorage, AK",45-0000,major,60,17.9,0.354,10.21,21230,2.7,7.51,8.26,9.09,9.92,15.21,15630,17190,18900,20630,31640,2009
304,AK,11260,"Anchorage, AK",47-0000,major,9760,4.9,58.936,28.97,60260,1.7,16.88,22.19,28.68,35.59,41.11,35110,46150,59660,74020,85500,2009
