,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,Management Occupations,major,10000,2.6,56.698,1.14,52.8,109810,1.9,25.27,33.65,46.81,64.51,88.19,52560,69990,97360,134170,183430,2014
30,AK,11260,"Anchorage, AK",13-0000,Business and Financial Operations Occupations,major,8320,3.3,47.206,0.93,36.91,76780,1.9,21.13,26.95,34.49,43.8,55.36,43950,56060,71740,91100,115160,2014
57,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,major,3190,6.1,18.114,0.64,36.4,75710,2.6,20.25,26.61,34.88,44.07,53.64,42120,55340,72540,91660,111570,2014
72,AK,11260,"Anchorage, AK",17-0000,Architecture and Engineering Occupations,major,5140,3.4,29.128,1.63,50.3,104620,3,27.04,35.17,45.74,60.06,76.95,56230,73160,95130,124920,160050,2014
98,AK,11260,"Anchorage, AK",19-0000,"Life, Physical, and Social Science Occupations",major,2870,5.3,16.273,1.92,38.29,79640,4,19.77,25.57,33.93,44.83,59.45,41110,53180,70570,93260,123650,2014
116,AK,11260,"Anchorage, AK",21-0000,Community and Social Service Occupations,major,3240,5.6,18.401,1.29,24.57,51100,3.2,13.96,17.6,23.47,30.5,36.67,29050,36600,48820,63430,76260,2014
131,AK,11260,"Anchorage, AK",23-0000,Legal Occupations,major,1510,6.6,8.582,1.1,45,93600,5,22.07,28.66,40.77,55.68,75.46,45900,59620,84800,115810,156950,2014
136,AK,11260,"Anchorage, AK",25-0000,"Education, Training, and Library Occupations",major,9980,2.1,56.616,0.91,25.78,53630,2.2,9.64,17.58,25.09,33.91,41.01,20050,36570,52190,70520,85310,2014
160,AK,11260,"Anchorage, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2200,7.5,12.482,0.94,25.24,52500,2.4,13.8,17.61,23.27,29.79,38.56,28690,36620,48410,61960,80210,2014
179,AK,11260,"Anchorage, AK",29-0000,Healthcare Practitioners and Technical Occupations,major,10050,19.2,56.994,0.98,42.48,88360,2.5,18.98,26.93,37.6,49.68,68.99,39480,56010,78220,103330,143510,2014
217,AK,11260,"Anchorage, AK",31-0000,Healthcare Support Occupations,major,5070,10.7,28.735,0.99,19.24,40020,3.9,11.93,14.32,17.27,21.45,27.88,24810,29780,35930,44620,57980,2014
231,AK,11260,"Anchorage, AK",33-0000,Protective Service Occupations,major,3960,5.9,22.479,0.92,24.38,50720,7,10.44,14.08,21.44,32.48,41.74,21710,29290,44590,67570,86820,2014
243,AK,11260,"Anchorage, AK",35-0000,Food Preparation and Serving Related Occupations,major,15630,3.8,88.666,0.98,12.43,25860,3.1,8.26,8.85,10.62,14.4,18.72,17190,18410,22080,29950,38930,2014
259,AK,11260,"Anchorage, AK",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4950,7.8,28.071,0.87,14.23,29600,3,9.48,10.92,13.59,16.87,20.19,19720,22720,28270,35080,41990,2014
266,AK,11260,"Anchorage, AK",39-0000,Personal Care and Service Occupations,major,8530,8.9,48.397,1.57,14.14,29410,1.9,9.5,11.46,13.77,16.52,18.46,19770,23830,28630,34360,38400,2014
