,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,major,10090,2.5,56.937,1.13,55.04,114480,1.8,25.62,34.95,48.48,67.2,#,53290,72690,100830,139780,#,2015
30,AK,11260,"Anchorage, AK",13-0000,major,8980,2.2,50.701,0.99,38.23,79510,1.7,21.78,27.46,35.63,46.8,57.83,45290,57110,74100,97350,120280,2015
57,AK,11260,"Anchorage, AK",15-0000,major,3350,4.6,18.886,0.65,41.06,85410,3.7,21.73,28.28,37.3,46.98,59.73,45200,58820,77580,97710,124250,2015
71,AK,11260,"Anchorage, AK",17-0000,major,5270,3.2,29.73,1.66,52,108170,2.7,27.64,36.14,47.48,63.62,79.14,57480,75180,98770,132330,164610,2015
96,AK,11260,"Anchorage, AK",19-0000,major,2710,5.2,15.286,1.84,40.02,83240,4,20.78,27.26,36.55,47.07,60.75,43220,56700,76020,97910,126360,2015
117,AK,11260,"Anchorage, AK",21-0000,major,3630,7.1,20.503,1.43,25.02,52040,3.4,14.1,18.15,23.82,30.52,37.33,29330,37750,49540,63470,77640,2015
133,AK,11260,"Anchorage, AK",23-0000,major,1490,6.3,8.42,1.09,46.4,96520,6.2,20.5,28.16,43.45,57.68,76.31,42640,58580,90370,119970,158720,2015
137,AK,11260,"Anchorage, AK",25-0000,major,9240,1.8,52.128,0.84,30.54,63520,3.6,13.94,20.04,30.15,39.9,48.77,29000,41690,62710,82980,101440,2015
155,AK,11260,"Anchorage, AK",27-0000,major,2360,7.1,13.345,1,25.98,54030,2.8,12.67,17.42,23.29,30.25,41.85,26360,36240,48440,62920,87050,2015
176,AK,11260,"Anchorage, AK",29-0000,major,10030,19.8,56.591,0.97,43.57,90640,2.3,19.91,28.69,39.24,51.44,68.55,41410,59670,81620,107000,142570,2015
215,AK,11260,"Anchorage, AK",31-0000,major,5110,9.9,28.84,1,20.37,42380,3.9,11.76,14.77,17.98,22.85,32.59,24450,30720,37400,47530,67790,2015
229,AK,11260,"Anchorage, AK",33-0000,major,4000,4.5,22.556,0.93,25.91,53890,6.1,12.28,16.38,23.9,33.16,43.4,25540,34080,49720,68970,90270,2015
241,AK,11260,"Anchorage, AK",35-0000,major,16400,3.9,92.547,1.01,13.17,27380,2.9,8.96,9.27,11.04,15.08,20.49,18630,19280,22960,31370,42630,2015
259,AK,11260,"Anchorage, AK",37-0000,major,5360,6.5,30.229,0.95,14.93,31060,2.7,9.85,11.45,14.32,17.54,21.21,20490,23820,29780,36480,44130,2015
266,AK,11260,"Anchorage, AK",39-0000,major,8010,8.3,45.187,1.45,14.21,29560,1.7,9.37,11.11,13.72,16.56,18.7,19480,23110,28530,34450,38890,2015
286,AK,11260,"Anchorage, AK",41-0000,major,16540,3.5,93.315,0.89,17.86,37150,2.2,9.64,10.92,13.92,20.54,30.66,20060,22710,28960,42720,63770,2015
305,AK,11260,"Anchorage, AK",43-0000,major,30470,2.3,171.928,1.09,20.3,42230,1,11.85,14.96,18.91,24.59,29.92,24660,31120,39340,51150,62230,2015
353,AK,11260,"Anchorage, AK",45-0000,major,170,38.4,0.981,0.3,16.97,35290,11.4,9.11,9.65,15.96,22.31,28.21,18950,20080,33210,46400,58670,2015
354,AK,11260,"Anchorage, AK",47-0000,major,9770,4.1,55.149,1.39,31.38,65270,1.6,16.78,23.76,30.71,38.7,46.07,34910,49430,63870,80490,95830,2015
379,AK,11260,"Anchorage, AK",49-0000,major,8080,4.6,45.622,1.17,28.17,58590,2.1,15.07,20.02,27.37,35.82,43.62,31350,41650,56940,74510,90730,2015
408,AK,11260,"Anchorage, AK",51-0000,major,3640,5.9,20.534,0.31,22.15,46070,3.2,10.63,13.76,19.26,28.41,38.73,22110,28610,40070,59100,80560,2015
436,AK,11260,"Anchorage, AK",53-0000,major,12510,7,70.583,1.02,27.15,56470,6.6,11.01,14.18,19.76,30.11,53.82,22900,29490,41090,62620,111950,2015
466,AK,21820,"Fairbanks, AK",11-0000,major,2240,4.9,59.211,1.18,47.93,99700,2.8,22.79,32.05,44.18,57.76,75.73,47400,66660,91890,120130,157510,2015
482,AK,21820,"Fairbanks, AK",13-0000,major,1350,4.4,35.66,0.7,35.55,73940,2.2,21.91,27.43,34.08,42.01,51.01,45570,57050,70880,87370,106110,2015
494,AK,21820,"Fairbanks, AK",15-0000,major,640,4.7,16.879,0.58,39.06,81250,2.4,24.17,30.77,38.44,45.3,55.77,50280,64010,79950,94230,116000,2015
501,AK,21820,"Fairbanks, AK",17-0000,major,820,11.4,21.659,1.21,42.27,87930,3.1,25.02,30.96,40.47,51.63,62.51,52030,64410,84180,107390,130030,2015
509,AK,21820,"Fairbanks, AK",19-0000,major,1190,3.3,31.413,3.78,31.73,65990,1.8,18.69,23.02,30.02,38.64,46.76,38880,47870,62440,80370,97250,2015
520,AK,21820,"Fairbanks, AK",21-0000,major,660,8.5,17.434,1.22,26.59,55310,3.8,15.36,18.31,25.48,32.99,40.16,31960,38090,53010,68610,83530,2015
526,AK,21820,"Fairbanks, AK",23-0000,major,210,7.9,5.473,0.71,44.14,91820,4,23.26,28.9,41.73,55.12,72.78,48380,60110,86810,114660,151390,2015
529,AK,21820,"Fairbanks, AK",25-0000,major,3080,0.7,81.468,1.32,35.83,74530,3.7,16.74,23.4,35.36,46.64,58.01,34810,48680,73550,97010,120660,2015
540,AK,21820,"Fairbanks, AK",27-0000,major,350,10.5,9.202,0.69,23.94,49790,4,12.68,17.33,22.86,28.98,36.28,26380,36050,47540,60280,75450,2015
543,AK,21820,"Fairbanks, AK",29-0000,major,2150,4.9,56.862,0.98,40.81,84890,2.2,20.13,26.54,37.68,50.5,60.88,41880,55200,78380,105040,126630,2015
560,AK,21820,"Fairbanks, AK",31-0000,major,790,6.8,20.864,0.72,19.06,39640,4.8,12.87,15.39,17.58,20.62,25.41,26780,32020,36570,42890,52860,2015
568,AK,21820,"Fairbanks, AK",33-0000,major,810,11.3,21.498,0.88,24.5,50950,7.5,11.58,16.78,22.23,30.32,38.59,24100,34900,46240,63070,80260,2015
574,AK,21820,"Fairbanks, AK",35-0000,major,3380,10.7,89.317,0.98,12.62,26250,3.2,9,9.38,11.12,14.53,18.54,18720,19510,23140,30220,38570,2015
588,AK,21820,"Fairbanks, AK",37-0000,major,1630,16.4,43.059,1.35,14.83,30840,2.9,9.58,11.38,14.22,17.49,20.95,19920,23670,29570,36380,43570,2015
593,AK,21820,"Fairbanks, AK",39-0000,major,690,23.8,18.221,0.58,15.96,33190,4.1,9.43,12.2,15.15,18.25,23.07,19620,25370,31510,37960,47990,2015
600,AK,21820,"Fairbanks, AK",41-0000,major,3140,6.1,82.847,0.79,16.62,34570,3,9.79,11.13,13.78,18.76,28.19,20370,23140,28660,39010,58640,2015
610,AK,21820,"Fairbanks, AK",43-0000,major,6180,3.5,163.372,1.03,20.71,43090,2.2,12.65,15.68,19.89,24.62,29.76,26310,32620,41360,51220,61900,2015
637,AK,21820,"Fairbanks, AK",45-0000,major,60,48,1.467,0.45,15.21,31640,10.5,9.28,12.22,14.94,17.39,21.16,19300,25420,31070,36170,44010,2015
638,AK,21820,"Fairbanks, AK",47-0000,major,3050,6.6,80.585,2.03,30.53,63500,2.3,18.55,22.93,30.17,37.03,44.66,38570,47700,62750,77020,92890,2015
651,AK,21820,"Fairbanks, AK",49-0000,major,2070,5.6,54.711,1.4,27.48,57170,3,15.22,19.73,27.5,34.97,40.7,31660,41040,57200,72730,84650,2015
667,AK,21820,"Fairbanks, AK",51-0000,major,860,8.1,22.796,0.35,25.81,53680,4.2,13.64,17.99,24.94,32.13,40.42,28360,37420,51870,66830,84070,2015
679,AK,21820,"Fairbanks, AK",53-0000,major,2500,8.2,66.003,0.95,22.4,46590,5.5,10.31,13.81,20.41,29.24,37.35,21450,28730,42450,60830,77690,2015
694,AL,11500,"Anniston-Oxford-Jacksonville, AL",11-0000,major,1220,5.4,28.631,0.57,45.22,94050,2.7,25.29,31.05,40.34,53.94,71.41,52610,64590,83910,112190,148530,2015
702,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-0000,major,1200,4.8,28.128,0.55,30.38,63190,3.4,18.24,23.28,29.1,35.72,42.8,37950,48420,60520,74300,89030,2015
712,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-0000,major,280,7.9,6.654,0.23,28.02,58270,6.6,13.35,19.73,28.13,36.39,42.75,27770,41030,58520,75700,88910,2015
716,AL,11500,"Anniston-Oxford-Jacksonville, AL",17-0000,major,570,14.1,13.322,0.74,34.88,72540,2.8,18.13,25.54,34.8,43.88,52.14,37710,53120,72380,91260,108450,2015
722,AL,11500,"Anniston-Oxford-Jacksonville, AL",19-0000,major,140,8.7,3.272,0.39,28.65,59590,4.1,16.2,19.21,27.92,35.29,43.12,33700,39960,58080,73410,89680,2015
724,AL,11500,"Anniston-Oxford-Jacksonville, AL",21-0000,major,430,7.5,10.033,0.7,20.92,43510,4.2,12.4,16.12,20.42,25.87,30.16,25790,33520,42470,53820,62740,2015
729,AL,11500,"Anniston-Oxford-Jacksonville, AL",23-0000,major,160,12.5,3.805,0.49,31.59,65710,13.3,11.86,16.39,22.48,29.82,58.55,24660,34100,46760,62030,121790,2015
732,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-0000,major,2380,2.5,55.607,0.9,21.11,43910,2.1,8.55,16.54,21.99,26.59,29.82,17770,34400,45730,55310,62030,2015
743,AL,11500,"Anniston-Oxford-Jacksonville, AL",27-0000,major,330,16.4,7.697,0.58,17.94,37320,7.2,8.09,9.15,16.16,23.46,30.2,16830,19040,33600,48800,62820,2015
747,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-0000,major,2760,7,64.485,1.11,30.64,63730,6.7,12.58,16.85,23.12,30.31,55.52,26170,35040,48100,63040,115470,2015
764,AL,11500,"Anniston-Oxford-Jacksonville, AL",31-0000,major,1330,19,31.153,1.08,12.02,25010,4.2,8.08,8.99,10.68,13.53,18.39,16810,18690,22220,28150,38250,2015
770,AL,11500,"Anniston-Oxford-Jacksonville, AL",33-0000,major,1100,6.3,25.71,1.06,18.33,38130,3.4,8.99,13.64,17.89,22.2,27.65,18690,28370,37220,46180,57510,2015
779,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-0000,major,4240,6.2,99.11,1.09,9.5,19760,2.1,7.69,8.12,8.83,9.92,12.98,16000,16890,18370,20630,26990,2015
792,AL,11500,"Anniston-Oxford-Jacksonville, AL",37-0000,major,1220,9.1,28.521,0.89,10.81,22480,1.8,7.87,8.54,9.82,11.83,15.06,16360,17760,20430,24600,31310,2015
797,AL,11500,"Anniston-Oxford-Jacksonville, AL",39-0000,major,880,9.9,20.481,0.66,10.72,22290,5,7.73,8.19,8.97,11.51,17.72,16070,17040,18660,23930,36850,2015
805,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-0000,major,4860,4.3,113.564,1.08,13.35,27760,3.5,7.87,8.47,9.55,15.25,24.31,16360,17620,19870,31730,50570,2015
816,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-0000,major,6530,3.9,152.706,0.96,14.92,31040,2.7,8.7,10.54,13.87,18.66,22.82,18090,21930,28850,38810,47470,2015
845,AL,11500,"Anniston-Oxford-Jacksonville, AL",47-0000,major,1140,5.7,26.657,0.67,18.81,39130,3.8,10.52,13.44,17.95,22.98,28.05,21870,27960,37340,47800,58340,2015
854,AL,11500,"Anniston-Oxford-Jacksonville, AL",49-0000,major,2770,4.9,64.896,1.67,21,43690,4.2,12.43,16.48,21.93,24.29,28,25860,34270,45610,50520,58230,2015
869,AL,11500,"Anniston-Oxford-Jacksonville, AL",51-0000,major,6130,10.9,143.313,2.18,16.5,34320,4.7,9.37,11.72,15.74,19.75,24.85,19490,24380,32740,41080,51690,2015
892,AL,11500,"Anniston-Oxford-Jacksonville, AL",53-0000,major,3070,7.6,71.754,1.04,14.34,29820,3.9,8.15,9.28,12.66,18.08,24.17,16960,19300,26340,37600,50280,2015
904,AL,12220,"Auburn-Opelika, AL",11-0000,major,1850,3.9,34.894,0.69,47.65,99120,5.6,22.95,32.15,42.74,55.91,77.68,47740,66860,88910,116290,161570,2015
918,AL,12220,"Auburn-Opelika, AL",13-0000,major,1350,8.6,25.519,0.5,27.96,58150,4.1,16,19.36,24.69,33.23,44.97,33290,40280,51350,69120,93530,2015
