,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
1,AK,11260,"Anchorage, AK",11-0000,Management Occupations,major,9820,2.2,55.713,1.1,55.18,114770,1.6,26.04,35.63,48.72,66.19,91.63,54160,74120,101340,137680,190590,,
29,AK,11260,"Anchorage, AK",13-0000,Business and Financial Operations Occupations,major,9190,2.5,52.144,1.01,37.51,78020,1.9,20.81,26.82,35.18,46.09,57.81,43290,55780,73180,95860,120240,,
55,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,major,3370,4.8,19.105,0.64,41.42,86160,3.3,21.66,28.42,37.97,48.06,63.47,45050,59120,78980,99960,132020,,
69,AK,11260,"Anchorage, AK",17-0000,Architecture and Engineering Occupations,major,5070,3.1,28.801,1.62,52.35,108890,2.8,26.09,34.81,47.08,62.68,80.73,54260,72410,97930,130370,167910,,
92,AK,11260,"Anchorage, AK",19-0000,"Life, Physical, and Social Science Occupations",major,2590,5.1,14.699,1.79,39.14,81420,2.8,21.07,27.49,36.79,46.64,59.42,43820,57170,76520,97010,123590,,
112,AK,11260,"Anchorage, AK",21-0000,Community and Social Service Occupations,major,3990,7.2,22.644,1.57,25.29,52610,4.4,13.79,17.14,23.96,31.18,39.21,28690,35650,49830,64860,81560,,
128,AK,11260,"Anchorage, AK",23-0000,Legal Occupations,major,1500,7.1,8.497,1.11,46.83,97410,5.6,23.4,29.21,42.26,58.41,77.01,48670,60760,87910,121500,160190,,
133,AK,11260,"Anchorage, AK",25-0000,"Education, Training, and Library Occupations",major,9280,2.2,52.683,0.86,31.71,65960,3.2,15.3,21.38,31.18,41.11,49.88,31820,44460,64850,85510,103750,,
151,AK,11260,"Anchorage, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2110,7,12,0.89,27.21,56590,3,12.08,17.41,24.37,31.44,43.73,25120,36210,50690,65390,90960,,
170,AK,11260,"Anchorage, AK",29-0000,Healthcare Practitioners and Technical Occupations,major,10010,4.2,56.813,0.96,44.56,92680,2.3,19.58,27.61,38.58,52.04,72.49,40720,57420,80240,108240,150780,,
212,AK,11260,"Anchorage, AK",31-0000,Healthcare Support Occupations,major,4710,6.7,26.745,0.93,21.89,45520,4.2,12.7,16.21,18.96,24.08,34.94,26410,33720,39440,50090,72670,,
224,AK,11260,"Anchorage, AK",33-0000,Protective Service Occupations,major,3990,4.8,22.65,0.94,28.44,59160,4.9,13.45,18.82,26.55,36.16,46.06,27980,39150,55230,75210,95810,,
235,AK,11260,"Anchorage, AK",35-0000,Food Preparation and Serving Related Occupations,major,17060,2.5,96.836,1.05,13.48,28050,2.3,9.76,9.8,11.45,15.44,19.34,20290,20370,23820,32110,40220,,
253,AK,11260,"Anchorage, AK",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,5710,7.2,32.424,1.03,15.5,32250,3.3,10.01,11.33,14.31,18.03,22.89,20810,23570,29750,37510,47600,,
261,AK,11260,"Anchorage, AK",39-0000,Personal Care and Service Occupations,major,8400,8.9,47.678,1.48,14.77,30720,1.8,9.78,11.31,14.15,17.3,19.49,20330,23520,29420,35980,40530,,
279,AK,11260,"Anchorage, AK",41-0000,Sales and Related Occupations,major,16320,3.4,92.637,0.89,19.1,39720,2.3,10.21,11.39,14.45,22.19,33.67,21230,23680,30050,46150,70040,,
299,AK,11260,"Anchorage, AK",43-0000,Office and Administrative Support Occupations,major,29310,2.1,166.371,1.06,20.71,43080,0.9,11.77,14.95,19.39,25.22,30.41,24490,31100,40330,52460,63250,,
346,AK,11260,"Anchorage, AK",45-0000,"Farming, Fishing, and Forestry Occupations",major,100,29.8,0.585,0.18,19.49,40530,8.4,10.82,13.48,18.4,24.5,30.39,22490,28040,38270,50960,63210,,
347,AK,11260,"Anchorage, AK",47-0000,Construction and Extraction Occupations,major,8960,3.8,50.837,1.28,32.01,66580,1.5,18.26,23.69,30.97,39.3,47.43,37980,49270,64420,81740,98650,,
375,AK,11260,"Anchorage, AK",49-0000,"Installation, Maintenance, and Repair Occupations",major,7880,4.1,44.736,1.15,28.85,60020,2,15.58,20.78,28.33,36.29,44.21,32410,43210,58920,75490,91950,,
403,AK,11260,"Anchorage, AK",51-0000,Production Occupations,major,3590,5.6,20.365,0.31,22.82,47460,3.1,11.18,14.31,20.13,29.13,39.13,23250,29760,41870,60590,81390,,
431,AK,11260,"Anchorage, AK",53-0000,Transportation and Material Moving Occupations,major,13220,10,75.036,1.08,26.81,55760,5,11.52,14.54,20.34,30.49,50.86,23960,30250,42320,63420,105800,,
459,AK,21820,"Fairbanks, AK",11-0000,Management Occupations,major,2000,5.1,53.896,1.07,47.27,98330,2.1,24.44,32.23,43.59,56.56,74.84,50840,67040,90660,117640,155670,,
476,AK,21820,"Fairbanks, AK",13-0000,Business and Financial Operations Occupations,major,1340,3.6,36.218,0.7,36.39,75690,2.7,21.65,27.18,33.99,42.36,51.22,45020,56540,70690,88100,106530,,
489,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,major,550,5.2,14.771,0.5,36.79,76530,3.4,22.81,28.47,35.42,43.68,50.64,47450,59220,73670,90850,105340,,
495,AK,21820,"Fairbanks, AK",17-0000,Architecture and Engineering Occupations,major,840,9.6,22.634,1.27,43.82,91140,3.8,25.46,31.8,41.26,51.56,64.29,52950,66150,85820,107250,133720,,
506,AK,21820,"Fairbanks, AK",19-0000,"Life, Physical, and Social Science Occupations",major,1090,2.8,29.498,3.59,31.62,65770,1.8,18.96,23.18,29.94,38.46,47.29,39430,48210,62270,79990,98370,,
513,AK,21820,"Fairbanks, AK",21-0000,Community and Social Service Occupations,major,940,13.1,25.223,1.75,27.56,57320,6.7,15.44,18.37,25.85,34.97,44.25,32120,38210,53770,72730,92050,,
