,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,Management Occupations,major,10610,2.5,61.779,1.17,55.59,115630,1.8,26.68,36.03,48.94,64.7,93.24,55490,74950,101800,134580,193930,2018
32,AK,11260,"Anchorage, AK",13-0000,Business and Financial Operations Occupations,major,8000,6.1,46.552,0.87,36.47,75860,3.1,17.82,26.05,34.66,44.86,55.85,37060,54190,72100,93310,116180,2018
58,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,major,3300,8.3,19.24,0.64,40.13,83460,2.7,21.01,27.86,38.19,48.18,63.85,43690,57950,79430,100220,132820,2018
72,AK,11260,"Anchorage, AK",17-0000,Architecture and Engineering Occupations,major,4610,3.7,26.857,1.52,52.16,108490,4.9,25.09,34.33,46.03,60.46,80.1,52180,71400,95740,125750,166610,2018
95,AK,11260,"Anchorage, AK",19-0000,"Life, Physical, and Social Science Occupations",major,2390,4.4,13.916,1.72,38.37,79800,2.8,19.92,27.33,36.09,46.8,58.67,41430,56840,75060,97340,122040,2018
114,AK,11260,"Anchorage, AK",21-0000,Community and Social Service Occupations,major,3490,4.9,20.338,1.36,25.75,53550,4.1,14.29,17.67,24.15,31.5,40.21,29730,36740,50230,65520,83650,2018
129,AK,11260,"Anchorage, AK",23-0000,Legal Occupations,major,1550,6.5,9.011,1.16,44.09,91720,6.2,21.45,27.34,38.95,53.62,71.79,44620,56870,81010,111520,149310,2018
134,AK,11260,"Anchorage, AK",25-0000,"Education, Training, and Library Occupations",major,9910,2.5,57.695,0.95,30.09,62590,3.2,14.01,19.44,27.89,38.87,49.23,29150,40440,58020,80860,102400,2018
152,AK,11260,"Anchorage, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2180,6.4,12.665,0.94,27.63,57480,6.8,11.12,15.81,22.83,34.48,48.86,23130,32880,47480,71720,101620,2018
169,AK,11260,"Anchorage, AK",29-0000,Healthcare Practitioners and Technical Occupations,major,11130,4.5,64.804,1.08,46.51,96740,2.9,19.96,28,39.66,54.64,76.62,41520,58250,82490,113650,159360,2018
213,AK,11260,"Anchorage, AK",31-0000,Healthcare Support Occupations,major,4910,6.4,28.591,1.01,21.85,45440,4,12.73,16.35,19.63,24.42,31.96,26470,34020,40820,50800,66470,2018
225,AK,11260,"Anchorage, AK",33-0000,Protective Service Occupations,major,4090,5.4,23.808,1,30.23,62870,6.7,13.87,18.43,28.58,38.41,51.48,28840,38340,59440,79900,107070,2018
237,AK,11260,"Anchorage, AK",35-0000,Food Preparation and Serving Related Occupations,major,16510,3.9,96.104,1.04,13.31,27680,1.4,10.31,10.76,11.8,14.55,18.56,21440,22380,24550,30270,38600,2018
254,AK,11260,"Anchorage, AK",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4470,8.9,26.002,0.85,17.09,35550,5.7,10.83,12.29,15.25,18.92,25.38,22530,25560,31730,39350,52790,2018
261,AK,11260,"Anchorage, AK",39-0000,Personal Care and Service Occupations,major,7690,5.4,44.788,1.19,15.4,32030,1.4,10.8,12.15,14.74,17.81,20.52,22460,25280,30650,37050,42680,2018
278,AK,11260,"Anchorage, AK",41-0000,Sales and Related Occupations,major,15390,5.2,89.584,0.89,19.27,40080,2.6,10.65,11.74,14.73,22,32.44,22150,24410,30640,45770,67470,2018
296,AK,11260,"Anchorage, AK",43-0000,Office and Administrative Support Occupations,major,29750,2.1,173.198,1.15,21.22,44140,1.4,12.65,15.51,19.86,25.55,31.12,26320,32260,41300,53140,64740,2018
342,AK,11260,"Anchorage, AK",45-0000,"Farming, Fishing, and Forestry Occupations",major,250,36.5,1.436,0.43,21.87,45480,20.6,10.72,11.49,20.04,32.7,36.63,22290,23900,41670,68020,76190,2018
344,AK,11260,"Anchorage, AK",47-0000,Construction and Extraction Occupations,major,7730,4.3,45.008,1.09,31.34,65190,1.6,18.12,23.13,30.52,38.59,46.83,37690,48110,63490,80260,97420,2018
370,AK,11260,"Anchorage, AK",49-0000,"Installation, Maintenance, and Repair Occupations",major,8740,4.5,50.903,1.31,29.37,61080,2,15.52,20.35,28.58,36.84,45.5,32280,42330,59450,76640,94640,2018
399,AK,11260,"Anchorage, AK",51-0000,Production Occupations,major,2890,4.7,16.836,0.27,25.19,52400,4.4,11.59,14.74,21.23,31.56,45,24120,30650,44150,65640,93590,2018
422,AK,11260,"Anchorage, AK",53-0000,Transportation and Material Moving Occupations,major,12180,4.6,70.884,1,30.97,64420,7.3,12.35,15.73,22.76,32.42,64.66,25680,32710,47340,67430,134500,2018
448,AK,21820,"Fairbanks, AK",11-0000,Management Occupations,major,2100,4.2,59.206,1.13,47.45,98700,2,25.91,33.35,45.29,57.46,70.47,53900,69370,94200,119510,146580,2018
463,AK,21820,"Fairbanks, AK",13-0000,Business and Financial Operations Occupations,major,1360,6.1,38.546,0.72,37.67,78350,3.1,22.35,28.05,35.28,44.36,52.75,46490,58340,73380,92280,109720,2018
475,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,major,560,6.7,15.775,0.52,36.8,76550,2.6,22.94,29.47,36.77,44.04,49.24,47710,61290,76490,91610,102410,2018
483,AK,21820,"Fairbanks, AK",17-0000,Architecture and Engineering Occupations,major,860,6.8,24.25,1.37,44.31,92160,5.8,25.15,31.98,41.45,50.93,63.26,52320,66520,86220,105920,131570,2018
494,AK,21820,"Fairbanks, AK",19-0000,"Life, Physical, and Social Science Occupations",major,1190,3.5,33.708,4.16,33.32,69300,2,18.2,23.49,30.6,40.29,49.59,37860,48860,63650,83790,103140,2018
503,AK,21820,"Fairbanks, AK",21-0000,Community and Social Service Occupations,major,840,8.9,23.81,1.59,24.88,51760,2,14.61,17.45,22.81,30.44,39.36,30390,36300,47440,63310,81860,2018
510,AK,21820,"Fairbanks, AK",23-0000,Legal Occupations,major,210,6.8,5.947,0.76,42.66,88740,2.3,22.83,27.39,36.93,51.73,64.2,47480,56960,76810,107590,133530,2018
513,AK,21820,"Fairbanks, AK",25-0000,"Education, Training, and Library Occupations",major,2760,1.7,77.853,1.28,33.4,69480,3.4,16.66,23.24,34.56,43.06,48.29,34650,48330,71880,89560,100450,2018
526,AK,21820,"Fairbanks, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,310,7.6,8.774,0.65,24.44,50840,3.8,13.26,16.74,23.54,30.69,37.85,27570,34820,48960,63830,78720,2018
