,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,OCC_CODE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,10180,"Abilene, TX",4,TX,11-0000,major,2910,4.5,44.068,0.77,42.87,89160,2.2,17.38,26.74,36.37,51.68,73.88,36150,55620,75640,107500,153670,2020
18,10180,"Abilene, TX",4,TX,13-0000,major,2150,5.5,32.515,0.54,32.28,67140,2.3,16.48,21.89,29.35,38.69,50.26,34280,45530,61040,80470,104530,2020
34,10180,"Abilene, TX",4,TX,15-0000,major,820,15.3,12.372,0.38,29.79,61970,3.2,16.47,21.02,26.51,37.25,48.61,34250,43720,55130,77490,101120,2020
41,10180,"Abilene, TX",4,TX,17-0000,major,840,13.1,12.765,0.71,35.42,73680,4.5,18.62,24.36,32.65,43.04,55.23,38740,50660,67900,89520,114880,2020
51,10180,"Abilene, TX",4,TX,19-0000,major,370,10.8,5.554,0.6,29.5,61360,3.1,16.76,20.71,27.85,35.83,43.04,34870,43070,57940,74520,89520,2020
55,10180,"Abilene, TX",4,TX,21-0000,major,1220,5.6,18.458,1.15,22.09,45950,2.5,13.37,16.96,22.05,26.74,31,27810,35280,45860,55620,64480,2020
64,10180,"Abilene, TX",4,TX,23-0000,major,350,10.9,5.351,0.64,38.23,79520,13.5,16.71,18.98,23.7,40.69,80.42,34750,39470,49290,84640,167270,2020
67,10180,"Abilene, TX",4,TX,25-0000,major,4480,4,67.82,1.12,21.49,44700,3.3,9,11.59,21.42,27.43,32.57,18720,24120,44560,57060,67750,2020
84,10180,"Abilene, TX",4,TX,27-0000,major,690,15.8,10.433,0.78,21.24,44180,4.1,8.97,12.23,17.26,26.3,36.34,18660,25430,35910,54700,75580,2020
91,10180,"Abilene, TX",4,TX,29-0000,major,5080,7.1,76.916,1.25,36.04,74960,5,15.72,21.06,29.6,39.45,59.56,32700,43800,61570,82060,123880,2020
114,10180,"Abilene, TX",4,TX,31-0000,major,4140,6.5,62.691,1.35,12.13,25230,3.4,8.25,9.2,11.08,13.64,17.57,17170,19130,23050,28370,36540,2020
124,10180,"Abilene, TX",4,TX,33-0000,major,1830,1.6,27.738,1.15,22.77,47360,4.1,14.91,17.76,20.91,24.45,35.56,31020,36940,43480,50870,73960,2020
131,10180,"Abilene, TX",4,TX,35-0000,major,6670,5.5,100.983,1.25,11.06,23010,2.2,8.13,8.84,10.09,12.01,15.23,16910,18400,20990,24980,31680,2020
145,10180,"Abilene, TX",4,TX,37-0000,major,1990,6,30.072,1.02,12.83,26690,1.8,9.5,10.45,11.88,14.29,17.77,19760,21740,24720,29710,36960,2020
152,10180,"Abilene, TX",4,TX,39-0000,major,1180,8.3,17.923,0.92,12.99,27020,3.8,8.28,9.17,11.4,15.1,20.61,17210,19080,23710,31410,42860,2020
162,10180,"Abilene, TX",4,TX,41-0000,major,6360,7.5,96.224,1.02,16.17,33630,3.3,8.67,10.08,12.75,18.16,28.79,18040,20960,26520,37780,59890,2020
176,10180,"Abilene, TX",4,TX,43-0000,major,10270,2.8,155.427,1.17,16.79,34920,1.3,10.19,12.52,15.27,19.46,25.33,21190,26050,31770,40470,52690,2020
211,10180,"Abilene, TX",4,TX,45-0000,major,160,20.9,2.346,0.68,13.2,27460,5.9,9.56,10.86,13.22,15,16.78,19870,22600,27500,31210,34910,2020
213,10180,"Abilene, TX",4,TX,47-0000,major,3610,5.9,54.582,1.28,20.72,43090,3.7,12.9,15.44,19.1,24.02,30.63,26830,32120,39720,49950,63710,2020
231,10180,"Abilene, TX",4,TX,49-0000,major,3330,8.9,50.475,1.28,21.69,45120,2.7,12.02,14.84,19.76,26.59,35.35,25000,30860,41090,55310,73520,2020
