,FIPS,Admin2,Province_State,Country_Region,Combined_Key,Population,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30
0,1001.0,Autauga,Alabama,US,"Autauga, Alabama, US",55869,,0,0,4,0,7,9,2,5,4,11,6,21,22,8,8,3,3
1,1003.0,Baldwin,Alabama,US,"Baldwin, Alabama, US",223234,,0,1,2,6,0,12,17,14,19,27,63,63,59,18,4,6,4
2,1005.0,Barbour,Alabama,US,"Barbour, Alabama, US",24686,,0,0,1,0,0,4,2,0,2,2,21,8,11,4,1,3,1
3,1007.0,Bibb,Alabama,US,"Bibb, Alabama, US",22394,,0,0,0,1,0,1,5,4,4,2,29,6,8,-2,5,1,0
4,1009.0,Blount,Alabama,US,"Blount, Alabama, US",57826,,0,0,0,1,0,2,8,4,10,15,23,37,27,4,4,4,0
5,1011.0,Bullock,Alabama,US,"Bullock, Alabama, US",10101,,0,0,0,5,4,2,2,2,2,2,3,7,7,4,0,2,0
6,1013.0,Butler,Alabama,US,"Butler, Alabama, US",19448,,0,0,1,17,9,8,1,4,1,1,3,15,6,0,3,2,0
7,1015.0,Calhoun,Alabama,US,"Calhoun, Alabama, US",113605,,0,0,3,0,2,4,21,14,21,56,35,76,54,19,7,12,6
8,1017.0,Chambers,Alabama,US,"Chambers, Alabama, US",33254,,0,4,17,4,2,11,1,3,5,3,13,13,34,7,5,1,0
9,1019.0,Cherokee,Alabama,US,"Cherokee, Alabama, US",26196,,0,0,0,3,4,0,4,2,2,9,-2,13,3,5,2,0,0
10,1021.0,Chilton,Alabama,US,"Chilton, Alabama, US",44428,,0,0,1,0,1,3,5,20,3,5,16,25,21,9,2,4,1
11,1023.0,Choctaw,Alabama,US,"Choctaw, Alabama, US",12589,,0,0,0,8,4,0,0,0,0,1,9,2,-1,1,0,1,0
12,1025.0,Clarke,Alabama,US,"Clarke, Alabama, US",23622,,0,0,1,1,3,4,4,3,1,2,6,13,12,9,1,1,0
13,1027.0,Clay,Alabama,US,"Clay, Alabama, US",13235,,0,0,1,1,0,3,1,3,3,12,10,16,4,0,2,1,2
14,1029.0,Cleburne,Alabama,US,"Cleburne, Alabama, US",14910,,0,0,1,0,0,0,4,0,4,5,2,12,11,2,0,1,1
15,1031.0,Coffee,Alabama,US,"Coffee, Alabama, US",52342,,0,0,0,1,1,3,0,1,5,4,23,34,30,8,5,6,7
16,1033.0,Colbert,Alabama,US,"Colbert, Alabama, US",55241,,0,0,2,0,3,6,11,4,6,10,18,44,14,8,8,3,3
17,1035.0,Conecuh,Alabama,US,"Conecuh, Alabama, US",12067,,0,0,0,1,5,4,1,0,2,1,3,6,1,2,2,2,0
18,1037.0,Coosa,Alabama,US,"Coosa, Alabama, US",10663,,0,0,1,0,0,1,1,0,0,1,3,12,4,1,4,1,0
19,1039.0,Covington,Alabama,US,"Covington, Alabama, US",37049,,0,0,1,0,5,14,4,4,2,4,6,47,19,5,5,3,5
20,1041.0,Crenshaw,Alabama,US,"Crenshaw, Alabama, US",13772,,0,0,0,3,0,0,23,6,-2,0,6,12,6,3,0,0,0
21,1043.0,Cullman,Alabama,US,"Cullman, Alabama, US",83768,,0,0,0,0,3,8,2,7,5,17,36,71,32,5,7,5,3
22,1045.0,Dale,Alabama,US,"Dale, Alabama, US",49172,,0,0,0,0,0,18,20,6,8,2,9,35,9,2,2,3,3
23,1047.0,Dallas,Alabama,US,"Dallas, Alabama, US",37196,,0,0,3,0,5,15,2,1,1,5,11,68,30,7,2,4,5
24,1049.0,DeKalb,Alabama,US,"DeKalb, Alabama, US",71513,,0,0,2,1,2,6,3,7,9,6,25,76,38,4,6,3,2
25,1051.0,Elmore,Alabama,US,"Elmore, Alabama, US",81209,,0,0,2,6,6,21,7,6,11,5,19,51,51,17,3,3,6
26,1053.0,Escambia,Alabama,US,"Escambia, Alabama, US",36633,,0,0,1,2,3,9,7,2,7,0,3,14,24,2,1,2,3
27,1055.0,Etowah,Alabama,US,"Etowah, Alabama, US",102268,,0,0,9,2,2,6,21,5,9,12,28,152,73,24,9,7,7
28,1057.0,Fayette,Alabama,US,"Fayette, Alabama, US",16302,,0,0,0,0,1,4,1,5,3,2,3,19,18,3,3,0,1
29,1059.0,Franklin,Alabama,US,"Franklin, Alabama, US",31362,,0,0,0,7,6,7,7,3,2,2,3,23,17,5,0,0,-1
30,1061.0,Geneva,Alabama,US,"Geneva, Alabama, US",26271,,0,0,0,0,0,0,3,2,2,1,12,32,18,4,1,6,0
31,1063.0,Greene,Alabama,US,"Greene, Alabama, US",8111,,0,0,1,3,3,4,4,0,2,1,2,7,5,2,0,0,0
32,1065.0,Hale,Alabama,US,"Hale, Alabama, US",14651,,0,0,2,7,11,5,2,1,2,1,2,21,14,5,2,3,0
33,1067.0,Henry,Alabama,US,"Henry, Alabama, US",17205,,0,0,1,1,1,0,0,2,1,0,2,24,9,1,2,-1,1
34,1069.0,Houston,Alabama,US,"Houston, Alabama, US",105882,,0,0,4,0,0,8,3,6,14,3,26,145,52,11,8,5,4
35,1071.0,Jackson,Alabama,US,"Jackson, Alabama, US",51626,,0,1,1,0,0,1,4,5,7,4,11,36,32,4,4,2,2
36,1073.0,Jefferson,Alabama,US,"Jefferson, Alabama, US",658573,,0,0,46,56,38,83,76,53,32,116,197,431,246,90,53,22,30
