,year,month,state,covid_19_deaths,state_abbr,fips_state,state_name,state_proper
0,2020,1,United States,6,US,111,UNITED STATES,United States
1,2021,1,United States,104247,US,111,UNITED STATES,United States
2,2020,2,United States,20,US,111,UNITED STATES,United States
3,2021,2,United States,46876,US,111,UNITED STATES,United States
4,2020,3,United States,7152,US,111,UNITED STATES,United States
5,2021,3,United States,22681,US,111,UNITED STATES,United States
6,2020,4,United States,65460,US,111,UNITED STATES,United States
7,2021,4,United States,18291,US,111,UNITED STATES,United States
8,2020,5,United States,38298,US,111,UNITED STATES,United States
9,2021,5,United States,14333,US,111,UNITED STATES,United States
10,2020,6,United States,18004,US,111,UNITED STATES,United States
11,2021,6,United States,6810,US,111,UNITED STATES,United States
12,2020,1,Alabama,0,AL,1,ALABAMA,Alabama
13,2021,1,Alabama,2391,AL,1,ALABAMA,Alabama
14,2020,2,Alabama,0,AL,1,ALABAMA,Alabama
15,2021,2,Alabama,962,AL,1,ALABAMA,Alabama
16,2020,3,Alabama,48,AL,1,ALABAMA,Alabama
17,2021,3,Alabama,385,AL,1,ALABAMA,Alabama
18,2020,4,Alabama,339,AL,1,ALABAMA,Alabama
19,2021,4,Alabama,215,AL,1,ALABAMA,Alabama
20,2020,5,Alabama,430,AL,1,ALABAMA,Alabama
21,2021,5,Alabama,205,AL,1,ALABAMA,Alabama
22,2020,6,Alabama,399,AL,1,ALABAMA,Alabama
23,2021,6,Alabama,111,AL,1,ALABAMA,Alabama
24,2020,1,Alaska,0,AK,2,ALASKA,Alaska
25,2021,1,Alaska,36,AK,2,ALASKA,Alaska
26,2020,2,Alaska,0,AK,2,ALASKA,Alaska
27,2021,2,Alaska,18,AK,2,ALASKA,Alaska
28,2020,3,Alaska,0,AK,2,ALASKA,Alaska
29,2021,3,Alaska,16,AK,2,ALASKA,Alaska
30,2020,4,Alaska,0,AK,2,ALASKA,Alaska
31,2021,4,Alaska,15,AK,2,ALASKA,Alaska
32,2020,5,Alaska,0,AK,2,ALASKA,Alaska
33,2021,5,Alaska,0,AK,2,ALASKA,Alaska
34,2020,6,Alaska,0,AK,2,ALASKA,Alaska
35,2021,6,Alaska,0,AK,2,ALASKA,Alaska
36,2020,1,Arizona,0,AZ,4,ARIZONA,Arizona
37,2021,1,Arizona,4001,AZ,4,ARIZONA,Arizona
38,2020,2,Arizona,0,AZ,4,ARIZONA,Arizona
39,2021,2,Arizona,1622,AZ,4,ARIZONA,Arizona
40,2020,3,Arizona,64,AZ,4,ARIZONA,Arizona
41,2021,3,Arizona,511,AZ,4,ARIZONA,Arizona
42,2020,4,Arizona,405,AZ,4,ARIZONA,Arizona
43,2021,4,Arizona,233,AZ,4,ARIZONA,Arizona
44,2020,5,Arizona,507,AZ,4,ARIZONA,Arizona
45,2021,5,Arizona,233,AZ,4,ARIZONA,Arizona
46,2020,6,Arizona,899,AZ,4,ARIZONA,Arizona
47,2021,6,Arizona,155,AZ,4,ARIZONA,Arizona
48,2020,1,Arkansas,0,AR,5,ARKANSAS,Arkansas
49,2021,1,Arkansas,1172,AR,5,ARKANSAS,Arkansas
50,2020,2,Arkansas,0,AR,5,ARKANSAS,Arkansas
51,2021,2,Arkansas,469,AR,5,ARKANSAS,Arkansas
52,2020,3,Arkansas,10,AR,5,ARKANSAS,Arkansas
53,2021,3,Arkansas,197,AR,5,ARKANSAS,Arkansas
54,2020,4,Arkansas,61,AR,5,ARKANSAS,Arkansas
55,2021,4,Arkansas,78,AR,5,ARKANSAS,Arkansas
56,2020,5,Arkansas,78,AR,5,ARKANSAS,Arkansas
57,2021,5,Arkansas,92,AR,5,ARKANSAS,Arkansas
58,2020,6,Arkansas,169,AR,5,ARKANSAS,Arkansas
59,2021,6,Arkansas,106,AR,5,ARKANSAS,Arkansas
60,2020,1,California,0,CA,6,CALIFORNIA,California
61,2021,1,California,19954,CA,6,CALIFORNIA,California
62,2020,2,California,0,CA,6,CALIFORNIA,California
63,2021,2,California,7664,CA,6,CALIFORNIA,California
64,2020,3,California,278,CA,6,CALIFORNIA,California
65,2021,3,California,2305,CA,6,CALIFORNIA,California
66,2020,4,California,2017,CA,6,CALIFORNIA,California
67,2021,4,California,970,CA,6,CALIFORNIA,California
68,2020,5,California,2236,CA,6,CALIFORNIA,California
69,2021,5,California,672,CA,6,CALIFORNIA,California
70,2020,6,California,2057,CA,6,CALIFORNIA,California
71,2021,6,California,385,CA,6,CALIFORNIA,California
72,2020,1,Colorado,0,CO,8,COLORADO,Colorado
73,2021,1,Colorado,755,CO,8,COLORADO,Colorado
74,2020,2,Colorado,0,CO,8,COLORADO,Colorado
75,2021,2,Colorado,340,CO,8,COLORADO,Colorado
76,2020,3,Colorado,105,CO,8,COLORADO,Colorado
77,2021,3,Colorado,214,CO,8,COLORADO,Colorado
78,2020,4,Colorado,880,CO,8,COLORADO,Colorado
79,2021,4,Colorado,203,CO,8,COLORADO,Colorado
80,2020,5,Colorado,465,CO,8,COLORADO,Colorado
81,2021,5,Colorado,314,CO,8,COLORADO,Colorado
82,2020,6,Colorado,184,CO,8,COLORADO,Colorado
83,2021,6,Colorado,188,CO,8,COLORADO,Colorado
84,2020,1,Connecticut,0,CT,9,CONNECTICUT,Connecticut
85,2021,1,Connecticut,1019,CT,9,CONNECTICUT,Connecticut
86,2020,2,Connecticut,0,CT,9,CONNECTICUT,Connecticut
87,2021,2,Connecticut,474,CT,9,CONNECTICUT,Connecticut
88,2020,3,Connecticut,126,CT,9,CONNECTICUT,Connecticut
89,2021,3,Connecticut,240,CT,9,CONNECTICUT,Connecticut
90,2020,4,Connecticut,2457,CT,9,CONNECTICUT,Connecticut
91,2021,4,Connecticut,186,CT,9,CONNECTICUT,Connecticut
92,2020,5,Connecticut,1532,CT,9,CONNECTICUT,Connecticut
93,2021,5,Connecticut,112,CT,9,CONNECTICUT,Connecticut
