PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,11260,"Anchorage, AK",11-0000,major,12880,13200,13230,12430,11910,10720,10350,10040,10370,10000,10090,9820,9950,10610,11830,12000
AK,11260,"Anchorage, AK",13-0000,major,5880,6200,5860,6360,6940,7340,7270,7900,8180,8320,8980,9190,8940,8000,7920,7780
AK,11260,"Anchorage, AK",15-0000,major,2590,2510,2500,2760,3110,3320,3390,3500,3360,3190,3350,3370,3570,3300,3280,2980
AK,11260,"Anchorage, AK",17-0000,major,4360,4290,4520,4810,5370,5530,5440,5530,5260,5140,5270,5070,4820,4610,4440,4390
AK,11260,"Anchorage, AK",19-0000,major,2820,2530,2550,2840,2830,2690,2750,3000,3010,2870,2710,2590,2480,2390,2930,3050
AK,11260,"Anchorage, AK",21-0000,major,2600,2560,2670,2970,3070,3550,3470,3750,3580,3240,3630,3990,3690,3490,3070,3160
AK,11260,"Anchorage, AK",23-0000,major,1700,1460,**,**,1480,1400,1390,1270,1470,1510,1490,1500,1400,1550,1530,1550
AK,11260,"Anchorage, AK",25-0000,major,,,9440,9490,9690,10020,9880,10260,10090,9980,9240,9280,9490,9910,10170,9080
AK,11260,"Anchorage, AK",27-0000,major,1680,1930,1830,1890,1540,1640,2180,2140,2060,2200,2360,2110,2030,2180,2170,1840
AK,11260,"Anchorage, AK",29-0000,major,7690,7940,8100,8580,9110,9220,9220,9530,9820,10050,10030,10010,10620,11130,11140,11320
AK,11260,"Anchorage, AK",31-0000,major,3340,3510,3560,3900,4750,4380,4780,4910,5470,5070,5110,4710,5160,4910,9620,9020
AK,11260,"Anchorage, AK",33-0000,major,6110,5370,4810,4540,4120,4220,4150,3800,3920,3960,4000,3990,4020,4090,4000,4370
AK,11260,"Anchorage, AK",35-0000,major,12300,12230,12800,13270,13480,13620,14010,14630,15140,15630,16400,17060,16790,16510,16720,13780
AK,11260,"Anchorage, AK",37-0000,major,5350,5260,5120,5600,5180,4770,5270,5370,5270,4950,5360,5710,4850,4470,4490,4540
AK,11260,"Anchorage, AK",39-0000,major,5410,5790,6360,5690,5250,5250,6400,7330,7530,8530,8010,8400,7860,7690,3360,2990
AK,11260,"Anchorage, AK",41-0000,major,15630,15600,15200,15320,15970,15140,15730,15790,16380,16540,16540,16320,15330,15390,14850,13590
AK,11260,"Anchorage, AK",43-0000,major,29240,29520,28620,28560,28860,28440,29950,29700,30260,30040,30470,29310,29160,29750,26770,24910
AK,11260,"Anchorage, AK",45-0000,major,**,,**,**,60,**,,,110,170,170,100,**,250,220,190
AK,11260,"Anchorage, AK",47-0000,major,9200,9980,10030,10170,9760,9020,8480,8750,9120,9690,9770,8960,7960,7730,8450,8350
