area_code,CBSA Title,fips_state,county,state_proper,division,region,state_abbr,state
20100,"Dover, DE",10,1,Delaware,South Atlantic Division,South Region,DE,10
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,3,Delaware,Middle Atlantic Division,Northeast Region,DE,42
41540,"Salisbury, MD-DE",10,5,Delaware,South Atlantic Division,South Region,DE,24
33860,"Montgomery, AL",1,1,Alabama,East South Central Division,South Region,AL,1
33860,"Montgomery, AL",1,101,Alabama,East South Central Division,South Region,AL,1
19460,"Decatur, AL",1,103,Alabama,East South Central Division,South Region,AL,1
46220,"Tuscaloosa, AL",1,107,Alabama,East South Central Division,South Region,AL,1
45980,"Troy, AL",1,109,Alabama,East South Central Division,South Region,AL,1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,1,District of Columbia,South Atlantic Division,South Region,DC,11
17980,"Columbus, GA-AL",1,113,Alabama,South Atlantic Division,South Region,AL,13
13820,"Birmingham-Hoover, AL",1,115,Alabama,East South Central Division,South Region,AL,1
13820,"Birmingham-Hoover, AL",1,117,Alabama,East South Central Division,South Region,AL,1
45180,"Talladega-Sylacauga, AL",1,121,Alabama,East South Central Division,South Region,AL,1
10760,"Alexander City, AL",1,123,Alabama,East South Central Division,South Region,AL,1
46220,"Tuscaloosa, AL",1,125,Alabama,East South Central Division,South Region,AL,1
13820,"Birmingham-Hoover, AL",1,127,Alabama,East South Central Division,South Region,AL,1
11500,"Anniston-Oxford-Jacksonville, AL",1,15,Alabama,East South Central Division,South Region,AL,1
46740,"Valley, AL",1,17,Alabama,East South Central Division,South Region,AL,1
13820,"Birmingham-Hoover, AL",1,21,Alabama,East South Central Division,South Region,AL,1
23540,"Gainesville, FL",12,1,Florida,South Atlantic Division,South Region,FL,12
45300,"Tampa-St. Petersburg-Clearwater, FL",12,101,Florida,South Atlantic Division,South Region,FL,12
45300,"Tampa-St. Petersburg-Clearwater, FL",12,103,Florida,South Atlantic Division,South Region,FL,12
29460,"Lakeland-Winter Haven, FL",12,105,Florida,South Atlantic Division,South Region,FL,12
37260,"Palatka, FL",12,107,Florida,South Atlantic Division,South Region,FL,12
27260,"Jacksonville, FL",12,109,Florida,South Atlantic Division,South Region,FL,12
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",12,11,Florida,South Atlantic Division,South Region,FL,12
