,NAME,state,county,total_pop,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate
0,"Abbeville County, South Carolina",45,1,24527,402,16892,6726,416,91,5483.0,6.0,12.4,34.0,18.9,13.1,15.6
1,"Acadia Parish, Louisiana",22,1,62045,1732,47971,11009,1121,212,9796.0,8.9,12.1,41.3,17.8,6.6,13.3
2,"Accomack County, Virginia",51,1,32316,2955,19352,9104,626,279,7934.0,6.6,11.9,36.7,17.1,8.2,19.5
3,"Ada County, Idaho",16,1,481587,41045,405966,6144,14681,13751,71958.0,1.4,3.4,22.4,24.3,9.9,38.5
4,"Adair County, Iowa",19,1,7152,182,6803,41,86,40,1648.0,2.1,3.7,40.5,20.6,14.6,18.5
5,"Adair County, Kentucky",21,1,19202,415,17864,537,310,76,3695.0,9.5,10.9,39.0,16.2,8.6,15.7
6,"Adair County, Missouri",29,1,25343,653,22648,823,541,678,3829.0,3.4,6.4,34.4,17.6,7.0,31.0
7,"Adair County, Oklahoma",40,1,22194,1573,8738,112,11570,201,3515.0,4.7,14.6,46.6,18.1,4.4,11.6
8,"Adams County, Colorado",8,1,517421,211139,253680,16842,13468,22292,55528.0,7.3,8.9,28.6,22.0,8.9,24.3
9,"Adams County, Idaho",16,3,4294,155,3934,11,139,55,1284.0,,,,,,
10,"Adams County, Illinois",17,1,65435,1161,59810,2475,1375,614,13513.0,2.0,5.5,35.4,23.7,8.5,25.0
11,"Adams County, Indiana",18,1,35777,1623,33487,171,358,138,5681.0,9.4,5.9,40.6,19.2,9.5,15.5
12,"Adams County, Iowa",19,3,3602,52,3461,17,47,25,852.0,,,,,,
13,"Adams County, Mississippi",28,1,30693,3099,10904,16145,368,177,6005.0,7.3,14.8,33.0,19.0,8.5,17.4
14,"Adams County, Nebraska",31,1,31363,3450,26691,314,515,393,5916.0,4.6,5.4,28.1,25.6,11.9,24.3
15,"Adams County, North Dakota",38,1,2216,35,2044,21,54,62,632.0,,,,,,
16,"Adams County, Ohio",39,1,27698,288,26635,131,539,105,5112.0,7.2,12.6,44.5,15.6,6.9,13.2
17,"Adams County, Pennsylvania",42,1,103009,7511,91400,1692,1550,856,21730.0,4.0,7.2,39.9,17.9,8.7,22.3
18,"Adams County, Washington",53,1,19983,12936,6491,127,271,158,2264.0,23.3,9.7,28.7,17.7,6.2,14.3
19,"Adams County, Wisconsin",55,1,20220,845,18267,554,427,127,6098.0,2.2,10.3,42.6,22.8,8.3,13.9
20,"Addison County, Vermont",50,1,36777,841,34046,449,763,678,7598.0,2.2,4.3,29.1,16.2,8.6,39.6
21,"Aiken County, South Carolina",45,3,170872,10087,112362,42338,3983,2102,33992.0,4.3,7.7,32.8,20.3,8.5,26.4
22,"Aitkin County, Minnesota",27,1,15886,226,14907,78,624,51,5373.0,2.0,6.7,36.9,24.4,12.0,18.1
23,"Alachua County, Florida",12,1,269043,28222,163036,53858,7520,16407,39272.0,2.8,4.6,21.2,17.2,10.9,43.3
24,"Alamance County, North Carolina",37,1,169509,22130,106676,34090,3782,2831,29035.0,5.4,8.3,27.7,23.4,10.5,24.8
25,"Alameda County, California",6,1,1671329,373055,512134,169954,73014,543172,238763.0,5.9,5.6,17.6,17.2,6.3,47.4
26,"Alamosa County, Colorado",8,3,16233,7725,7648,168,516,176,2254.0,8.0,5.2,28.5,25.1,8.2,25.0
27,"Albany County, New York",36,1,305506,19102,218645,39031,7922,20806,53272.0,2.6,5.3,23.0,15.6,11.8,41.8
28,"Albany County, Wyoming",56,1,38880,3757,31844,675,1090,1514,4752.0,1.6,2.5,14.7,20.9,8.6,51.8
29,"Albemarle County, Virginia",51,3,109330,6313,84045,10281,2662,6029,21155.0,3.0,4.9,15.8,16.1,5.1,55.1
30,"Alcona County, Michigan",26,1,10405,167,9920,54,219,45,3761.0,2.9,7.8,39.3,24.6,8.5,16.9
31,"Alcorn County, Mississippi",28,3,36953,1189,30577,4500,540,147,6965.0,7.3,11.3,32.2,22.6,9.4,17.1
32,"Aleutians East Borough, Alaska",2,13,3337,493,302,302,774,1466,351.0,,,,,,
33,"Aleutians West Census Area, Alaska",2,16,5634,787,1332,367,836,2312,419.0,5.1,5.5,39.0,26.3,7.1,17.0
34,"Alexander County, Illinois",17,3,5761,107,3672,1806,149,27,1332.0,4.2,9.3,40.7,23.6,9.3,12.9
35,"Alexander County, North Carolina",37,3,37497,1788,32492,2138,690,389,7667.0,4.8,12.8,38.7,17.6,11.9,14.2
36,"Alexandria city, Virginia",51,510,159428,26479,83272,34809,4622,10246,19395.0,4.0,3.0,11.6,13.1,5.2,63.1
37,"Alfalfa County, Oklahoma",40,3,5702,341,4739,258,342,22,1155.0,4.1,10.7,37.5,19.7,6.1,21.8
