,state_code,area_code,prepandemic_growth,leisure_by_emp,total_emp_feb2020,manufacturing_emp_feb2020,service_emp_feb2020,total_emp_jun2021,manufacturing_emp_jun2021,service_emp_jun2021,total_employment,manufacturing,service,emp_tot_change_feb2020_jun2021,manufacturing_change_feb2020_jun2021,service_change_feb2020_jun2021
0,1,11500,0.023809523809523683,0.10503556624533024,46.9,7.8,39.1,44.4,7.6,36.8,47.3,7.8,39.5,-0.05330490405117272,-0.02564102564102566,-0.05882352941176483
1,1,12220,0.11423841059602646,0.1281998923313965,66.3,9.0,57.3,60.8,8.7,52.1,67.3,9.0,58.3,-0.0829562594268477,-0.03333333333333344,-0.09075043630017443
2,1,13820,0.046369036213834154,0.09400226025185666,541.3,71.0,470.3,507.7,67.6,440.1,546.1,71.8,474.4,-0.06207278773323477,-0.04788732394366202,-0.06421433127790765
3,1,19300,0.14672364672364668,,78.1,9.2,68.9,77.8,8.6,69.2,80.5,9.1,71.4,-0.003841229193341844,-0.06521739130434778,0.004354136429608024
4,1,19460,0.06679035250463825,0.09204465108306736,56.6,17.1,39.5,55.6,17.6,38.0,57.5,17.5,40.0,-0.017667844522968212,0.029239766081871288,-0.03797468354430378
5,1,20020,0.0507880910683012,0.1046851076860263,59.6,8.0,51.6,57.1,7.9,49.2,60.0,8.1,52.0,-0.04194630872483218,-0.012499999999999956,-0.046511627906976716
6,1,22520,0.02309058614564839,0.11069869456102245,56.8,12.6,44.2,53.4,11.9,41.5,57.6,12.7,44.9,-0.059859154929577496,-0.05555555555555547,-0.06108597285067874
7,1,23460,0.0053763440860213904,0.10583976989949258,37.3,6.4,30.9,32.7,4.9,27.8,37.4,6.4,31.1,-0.12332439678284168,-0.234375,-0.10032362459546917
8,1,26620,0.10251798561151071,0.08944675860395515,242.3,35.3,207.0,234.8,35.4,199.4,245.2,35.4,209.8,-0.030953363598844374,0.0028328611898016387,-0.03671497584541061
9,1,33660,0.027548209366391185,0.09488143887139179,185.4,30.0,155.4,173.6,29.2,144.4,186.5,30.4,156.1,-0.06364617044228704,-0.026666666666666727,-0.07078507078507079
10,1,33860,0.02538949798038071,0.09453906074298216,176.4,24.5,151.9,164.9,23.2,141.7,177.7,24.9,152.9,-0.06519274376417228,-0.053061224489796,-0.06714944042132998
