,area_code,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,prepandemic_growth,leisure_by_emp,total_emp_feb2020,manufacturing_emp_feb2020,service_emp_feb2020,total_emp_jun2021,manufacturing_emp_jun2021,service_emp_jun2021,total_employment,manufacturing,service,emp_tot_change_feb2020_jun2021,manufacturing_change_feb2020_jun2021,service_change_feb2020_jun2021,occ_15,total_pop,pop_excl,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate,CBSA Title,division,region,state,pop_by_metro
0,10180.0,24.12,63.99,7.489999999999999,2.46,1.94,15.271998140183657,0.061583577712610006,0.11129718552948607,71.2,8.2,63.0,68.8,7.7,61.1,72.4,8.5,63.9,-0.03370786516853941,-0.060975609756097504,-0.030158730158730163,0.008701657458563536,172060,172060,4.33,7.7299999999999995,32.28,24.66,7.7,23.28,"Abilene, TX",West South Central Division,South Region,48,172060
3,10420.0,2.22,79.34,12.49,2.48,3.47,18.158182404876335,0.00828892835997635,0.0965212295562304,336.5,52.9,283.6,310.6,51.1,259.5,340.6,54.7,285.8,-0.0769687964338781,-0.03402646502835538,-0.08497884344146689,0.027157956547269525,703479,703479,2.2399999999999998,5.8999999999999995,31.680000000000003,20.3,8.27,31.69,"Akron, OH",East North Central Division,Midwest Region,39,703479
5,10500.0,3.1199999999999997,41.22,55.03,1.4500000000000002,1.25,16.949279609612475,0.027823240589197967,,62.2,7.0,55.2,59.2,6.5,52.7,62.8,6.9,55.9,-0.048231511254019255,-0.0714285714285714,-0.04528985507246375,0.01019108280254777,146726,146726,4.35,11.129999999999999,31.97,22.81,9.55,20.19,"Albany, GA",South Atlantic Division,South Region,13,146726
10,10540.0,9.520000000000001,84.34,0.6,4.2,1.34,19.069125773609045,0.10613207547169812,0.07952429095939982,46.6,11.9,34.7,43.3,11.1,32.2,46.9,12.3,34.5,-0.07081545064377692,-0.06722689075630262,-0.0720461095100865,0.007249466950959489,129749,129749,2.9000000000000004,7.6,28.999999999999996,31.2,10.0,19.3,"Albany, OR",Pacific Division,West Region,41,129749
11,10580.0,5.42,79.32000000000001,8.200000000000001,2.53,4.53,17.980737885074756,0.033501204291657566,0.08265455034724023,466.1,43.2,422.9,418.7,45.3,373.4,472.0,46.3,425.7,-0.10169491525423735,0.04861111111111094,-0.11704894774178298,0.03574152542372881,880381,880381,2.5,5.29,26.169999999999998,16.21,12.370000000000001,37.53,"Albany-Schenectady-Troy, NY",Middle Atlantic Division,Northeast Region,36,880381
16,10740.0,49.44,38.61,2.37,7.3,2.2800000000000002,17.351511626133693,0.04700630252100834,0.10738461822876387,395.5,39.7,355.8,362.3,39.4,322.9,398.7,41.3,357.5,-0.0839443742098609,-0.007556675062972418,-0.0924676784710512,0.02287434161023326,918018,918018,4.2,7.180000000000001,24.63,23.35,8.51,32.12,"Albuquerque, NM",Mountain Division,West Region,35,918018
20,10780.0,3.51,63.33,29.270000000000003,2.6100000000000003,1.28,16.563731197011254,-0.02511773940345371,,61.9,8.0,53.9,58.3,7.8,50.5,62.1,8.1,54.0,-0.05815831987075937,-0.025000000000000022,-0.06307977736549164,0.0051529790660225444,152037,152037,4.83,10.11,38.190000000000005,22.17,5.609999999999999,19.07,"Alexandria, LA",West South Central Division,South Region,22,152037
22,10900.0,15.57,73.95,5.11,1.8399999999999999,3.52,18.59618708770303,0.06309324399776668,0.09665799414686116,374.8,52.2,322.6,336.6,50.2,286.4,380.8,53.4,327.3,-0.10192102454642471,-0.03831417624521072,-0.11221326720396785,0.017909663865546217,992155,992155,3.39,6.22,33.96,16.46,9.07,30.959999999999997,"Allentown-Bethlehem-Easton, PA-NJ",Middle Atlantic Division,Northeast Region,42,844052
26,11020.0,1.34,94.52000000000001,1.8900000000000001,1.55,0.7000000000000001,21.288034868545257,0.003273322422258523,0.0883002207505519,59.9,9.8,50.1,56.4,9.7,46.7,61.3,10.2,51.1,-0.058430717863105164,-0.010204081632653184,-0.06786427145708585,0.011419249592169658,121829,121829,2.3,6.3,45.0,15.8,9.3,21.3,"Altoona, PA",Middle Atlantic Division,Northeast Region,42,121829
27,11100.0,30.17,59.540000000000006,6.22,2.13,3.46,14.810345752219847,0.019279128248113973,0.11139785800073451,120.8,21.2,99.6,117.3,21.9,95.4,121.6,21.5,100.1,-0.028973509933774788,0.03301886792452824,-0.04216867469879504,0.011266447368421053,261054,261054,5.87,8.690000000000001,27.150000000000002,25.06,8.799999999999999,24.44,"Amarillo, TX",West South Central Division,South Region,48,265053
32,11180.0,3.6900000000000004,83.55,2.91,1.76,8.1,12.633215605918636,0.007604562737642559,,54.3,6.9,47.4,45.9,7.1,38.8,53.0,7.2,45.8,-0.15469613259668502,0.02898550724637672,-0.18143459915611815,0.031132075471698113,97117,97117,0.8999999999999999,2.0,17.4,17.9,10.2,51.6,"Ames, IA",West North Central Division,Midwest Region,19,123351
33,11260.0,8.23,62.99,4.2,14.97,9.610000000000001,11.988383036811442,-0.024295969077857568,0.10997839819553386,172.4,13.4,159.0,161.4,15.6,145.8,176.7,15.4,161.3,-0.06380510440835263,0.16417910447761197,-0.08301886792452828,0.018562535370684776,396317,396317,2.29,4.06,26.05,26.27,9.16,32.14,"Anchorage, AK",Pacific Division,West Region,2,396317
35,11460.0,4.92,70.16,12.02,3.5700000000000003,9.34,14.51818683844712,0.07562235791451383,0.07626005895076357,227.9,19.3,208.6,197.6,17.2,180.4,229.0,19.5,209.5,-0.13295304958315057,-0.10880829015544047,-0.13518696069031633,0.038471615720524016,367601,367601,1.4000000000000001,3.4000000000000004,14.6,17.599999999999998,7.1,55.900000000000006,"Ann Arbor, MI",East North Central Division,Midwest Region,26,367601
36,11500.0,4.06,71.71,21.0,2.27,0.96,18.086351833105937,0.023809523809523683,0.10503556624533024,46.9,7.8,39.1,44.4,7.6,36.8,47.3,7.8,39.5,-0.05330490405117272,-0.02564102564102566,-0.05882352941176483,0.007822410147991543,113605,113605,5.2,10.4,32.800000000000004,25.0,8.200000000000001,18.5,"Anniston-Oxford-Jacksonville, AL",East South Central Division,South Region,1,113605
37,11540.0,4.5600000000000005,87.83999999999999,1.27,2.91,3.42,15.347895148209467,0.03493095044679132,0.09240532945921669,125.0,32.9,92.1,121.0,33.5,87.5,127.4,33.7,93.7,-0.03200000000000003,0.01823708206686936,-0.04994571118349611,0.02142857142857143,237974,237974,2.06,3.82,31.64,19.79,13.13,29.64,"Appleton, WI",East North Central Division,Midwest Region,55,237974
39,11700.0,7.180000000000001,84.98,4.42,2.13,1.29,22.707054551742026,0.09597352454495299,0.14464031809545383,196.9,32.1,164.8,174.1,29.9,144.2,198.7,32.4,166.4,-0.11579481970543426,-0.06853582554517146,-0.1250000000000001,0.011021640664318067,462680,462680,3.1,6.77,24.27,20.52,9.76,35.55,"Asheville, NC",South Atlantic Division,South Region,37,462680
43,12020.0,8.89,65.53999999999999,20.02,1.95,3.5999999999999996,13.581754385964912,0.07119386637458927,0.1104053426394346,96.9,10.1,86.8,88.8,9.2,79.6,97.8,9.9,87.9,-0.08359133126934992,-0.08910891089108919,-0.08294930875576045,0.016666666666666666,213750,213750,4.2299999999999995,7.8100000000000005,23.93,16.830000000000002,7.04,40.08,"Athens-Clarke County, GA",South Atlantic Division,South Region,13,213750
47,12060.0,10.97,46.18,34.36,2.19,6.3,12.649301603690407,0.10377942998760846,0.10256674023639788,2819.8999999999996,299.80000000000007,2520.1,2625.1000000000004,291.39999999999986,2333.699999999999,2850.3999999999996,303.8,2546.6,-0.06908046384623573,-0.028018679119413026,-0.07396531883655409,0.04491650294695479,6020364,6020364,4.1000000000000005,6.34,23.990000000000002,19.59,7.580000000000001,38.4,"Atlanta-Sandy Springs-Roswell, GA",South Atlantic Division,South Region,13,6020364
76,12100.0,19.39,55.95,14.57,2.15,7.9399999999999995,18.59407592824364,0.03493788819875776,0.28673814845201384,129.2,7.5,121.7,91.2,7.6,83.6,133.3,7.9,125.4,-0.2941176470588235,0.013333333333333197,-0.31306491372226797,0.016429107276819205,263670,263670,5.2,7.8,32.0,19.900000000000002,7.000000000000001,28.1,"Atlantic City-Hammonton, NJ",Middle Atlantic Division,Northeast Region,34,263670
77,12220.0,3.6999999999999997,67.67999999999999,22.650000000000002,1.7999999999999998,4.17,12.405343316600018,0.11423841059602646,0.1281998923313965,66.3,9.0,57.3,60.8,8.7,52.1,67.3,9.0,58.3,-0.0829562594268477,-0.03333333333333344,-0.09075043630017443,0.010104011887072809,164542,164542,2.8000000000000003,6.3,23.7,22.7,9.2,35.3,"Auburn-Opelika, AL",East South Central Division,South Region,1,164542
